,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,last_name,first_initial
221,No,White,No,No,No,No,Yes,No,,,,,,,,,,,,,,williamson,J
222,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,lave,K
223,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,siekman,L
224,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,tanoos,W
225,No,White,No,No,No,No,No,No,,No,,,No,,,Yes,No,,No,,,canon,D
226,Yes,White,No,No,No,No,No,No,,Yes,,,Yes,,,No,Yes,,Yes,,,watson,L
227,No,White,No,No,No,No,No,No,,No,,,No,,,No,No,,No,,,chatlos,R
233,Yes,White,Yes,No,No,No,No,No,,,,,,,,,,,,,,lapolice,A
234,Yes,White,No,No,Yes,No,No,No,,,,,,,,,,,,,,davis,P
235,No,White,No,No,No,No,No,Yes,,No,Yes,,,Yes,Yes,Yes,Yes,No,,,,welder,B
236,No,White,No,No,No,No,No,No,,No,No,,,No,No,No,No,No,,,,sidie,J
237,No,White,No,No,No,No,Yes,No,,No,No,,,No,No,No,No,No,,,,mccamon,M
238,Yes,Nonwhite,No,Yes,No,No,No,No,,Yes,No,,,No,No,No,No,Yes,,,,davids,S
239,No,White,No,No,No,No,No,No,,No,No,,,No,No,No,No,No,,,,williams,S
240,No,White,No,No,No,No,No,No,,No,No,,,No,No,No,No,Yes,,,,niermann,T
241,Yes,White,Yes,No,No,No,No,No,,,Yes,,,Yes,Yes,Yes,,,,,,thompson,J
242,No,White,No,No,No,No,No,No,,,Yes,,,No,No,No,,,,,,lombard,L
243,No,White,No,No,No,No,No,No,,,,,,,No,,,No,,,,pennington,A
244,Yes,White,No,No,No,No,No,No,,,,,,,Yes,,,Yes,,,,walker,P
245,No,White,No,No,No,No,No,No,,,,,,,No,,,,,,,pedigo,B
246,No,White,No,No,No,No,No,No,,,,,,,Yes,,,,,,,short,G
247,Yes,White,No,No,No,No,No,No,,,,,,,No,,,,,,,linderman,H
248,No,White,Yes,No,No,No,No,No,,,,,,,No,,,,,,,sessions,R
249,No,White,No,No,No,No,No,No,,,No,,,,,,,,,,,lord,C
250,No,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,piatt,P
251,Yes,White,No,No,No,No,No,No,,,No,,,,,,,,,,,hall,S
252,Yes,White,Yes,No,No,No,No,No,,,,,,,,,,,,,,stepp,K
253,No,White,No,No,Yes,No,No,No,,,,,,,,,,,,,,sykes,S
254,Yes,White,Yes,No,No,No,No,No,,,,,,,,,,,,Yes,,mcgrath,A
255,No,White,No,No,No,No,No,No,,,,,,,,,,,,No,,kemph,D
256,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,young,G
257,No,White,No,Yes,Yes,No,No,No,,,,,,,,,,,,,,gray,J
258,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,,,,,,No,,thomas,R
259,No,White,No,No,No,No,No,No,,,,,,,,,,,,No,,green,T
268,No,White,No,No,No,No,No,No,,,Yes,,,,No,,,,,No,,galbraith,A
269,No,White,No,No,No,No,Yes,No,,,No,,,,No,,,,,No,,lane,E
270,Yes,White,Yes,No,No,No,No,No,,,Yes,,,,No,,,,,Yes,,colvin,J
272,No,White,No,No,No,No,No,No,,,Yes,,,,Yes,,,,,No,,pullen,M
273,No,White,No,No,No,No,No,No,,,No,,,,No,,,,,No,,worton,S
274,No,White,Yes,No,No,No,No,No,,No,Yes,,,,No,No,,,No,,,duck,A
275,No,Nonwhite,No,No,Yes,No,Yes,No,,Yes,Yes,,,,No,No,,,No,,,miller,A
276,No,White,No,No,No,No,No,No,,No,No,,,,No,No,,,No,,,graves,C
277,No,White,No,No,No,No,Yes,No,,No,Yes,,,,No,No,,,No,,,hearsey,C
278,Yes,White,No,No,No,Yes,No,No,,No,Yes,,,,No,No,,,No,,,trone,D
279,No,White,No,No,No,No,No,No,,No,No,,,,No,No,,,No,,,english,G
280,No,Nonwhite,No,No,No,No,Yes,No,,No,Yes,,,,No,No,,,No,,,hashimi,N
281,No,White,No,No,Yes,No,No,No,,No,Yes,,,,Yes,Yes,,,Yes,,,manno,R
289,No,,No,No,No,No,No,No,,,Yes,,,,,,,,,No,,olson,C
290,Yes,,Yes,No,Yes,No,No,No,,,No,,,,,,,,,Yes,,golden,J
291,No,,No,No,No,No,No,No,,,Yes,,,,,,,,,No,,clair,L
292,Yes,,No,No,No,No,No,No,,,Yes,,,,,,,,,,,ringelstein,Z
296,No,White,No,No,Yes,No,No,No,,,,,,,,,,,,,,jr.,F
297,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,bizon,K
299,No,Nonwhite,No,No,No,No,No,Yes,,,,,,,,Yes,,,,,,saad,F
300,Yes,White,No,No,No,No,No,Yes,,,,,,,,No,,,,,,stevens,H
301,No,White,No,No,No,No,No,No,,,,,,,,No,,,,,,skinner,N
302,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,No,,,,,,gupta,S
303,No,White,No,No,Yes,No,No,No,,,,,,,,No,,,,,,greimel,T
304,No,White,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,wild,B
305,No,White,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,wild,B
306,Yes,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,jones,B
307,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,jones,B
308,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,ii,C
309,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,conyers,I
310,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,conyers,I
311,Yes,Nonwhite,No,No,Yes,No,No,Yes,,,,,,,Yes,Yes,Yes,,,,No,tlaib,R
312,No,Nonwhite,No,No,Yes,No,No,Yes,,,,,,,Yes,Yes,Yes,,,,No,tlaib,R
313,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,jackson,S
314,Yes,White,No,No,No,No,Yes,No,,,Yes,,,,Yes,Yes,,Yes,,,,davidson,R
315,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,albro,C
316,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,wooden,F
317,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,hilliard,J
318,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,kozicki,Z
319,No,White,No,No,No,No,No,No,,,Yes,,,,Yes,Yes,,,,,,benac,D
320,No,White,No,No,No,No,No,No,,,Yes,,,,No,No,,,,,,franklin,G
321,Yes,White,No,No,No,No,Yes,No,,,Yes,,,,No,No,,,,,,longjohn,M
322,No,White,No,No,No,No,Yes,No,,,Yes,,,,No,No,,,,,,eichholz,R
323,Yes,White,No,No,Yes,No,No,No,Yes,Yes,,,,,No,,,,,,,driskell,G
324,No,White,Yes,No,No,No,No,No,No,No,,,,,Yes,,,,,,,friday,S
325,No,White,No,No,No,No,No,No,,No,,No,,,,,,,,,,smith,C
326,Yes,White,No,No,No,No,No,Yes,,Yes,,Yes,,,,,,,,,,slotkin,E
327,Yes,White,No,No,No,No,No,No,,No,Yes,,,,,,,,,,,levin,A
328,No,White,No,No,Yes,No,Yes,No,,Yes,Yes,,,,,,,,,,,lipton,E
329,No,White,No,No,No,No,No,No,,No,Yes,,,,,,,,,,,brook,M
330,No,White,No,No,Yes,No,No,No,,,,,,,,,,,,No,,haas,B
331,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,No,,vanostran,C
332,No,White,No,No,No,No,No,No,,,Yes,,,,,,,,,No,,messmer,J
333,No,White,Yes,No,No,No,No,No,,,Yes,,,,,,,,,Yes,,osmack,M
334,No,White,No,No,No,No,No,No,,,,,,,,,,,,No,,hazel,R
335,Yes,White,No,No,No,No,Yes,No,,,Yes,,,,,,,,,,,geppert,K
336,No,White,No,No,No,No,Yes,No,,,Yes,,,,,,,,,,,thompson,H
337,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,hoagenson,R
339,Yes,Nonwhite,Yes,No,No,No,No,No,,,,,,,No,,,,,,,martin,H
340,No,White,No,No,No,No,No,No,,,,,,,Yes,,,,,,,apple,W
341,Yes,White,Yes,No,Yes,No,Yes,No,,,Yes,,,,,Yes,,,,,,schoolcraft,J
342,No,Nonwhite,No,No,No,No,No,No,,,No,,,,,No,,,,,,torre,J
345,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,ellis,K
346,Yes,,No,No,No,No,Yes,No,,,,,,,,,,,,,,wadkins,R
347,No,,Yes,Yes,No,No,No,No,,,,,,,,,,,,,,aycox,M
348,Yes,,No,No,Yes,No,No,No,,,,,,,,,,,,,,evans,M
349,Yes,Nonwhite,No,No,Yes,No,No,No,,,,,,,,,,Yes,,,,anderson,J
350,Yes,White,No,No,Yes,No,No,No,,,,,,,,,,,,,,baria,D
351,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,sherman,H
352,No,,No,No,No,No,No,No,,,,,,,,,,,,,,bohren,J
353,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,,,,,,,garland,J
354,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,,,,,,,,scott,O
355,No,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,,jr.,V
356,No,,No,No,No,No,Yes,No,,,No,,,,No,No,,,,,,kier,G
357,No,,No,No,No,No,No,No,,,No,,,,No,No,,,,,,pettinato,J
358,No,,No,No,No,Yes,No,No,,,No,,,,Yes,Yes,,,,,,heenan,J
359,No,,No,No,No,No,Yes,No,,,Yes,,,,No,No,,,,,,meyer,J
360,Yes,,No,No,Yes,No,No,No,,,Yes,,,,No,No,,,,,,williams,K
361,No,,No,No,Yes,No,No,No,,,No,,,,No,No,,,,,,moss,L
362,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,brown,D
363,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,price,P
364,No,White,No,No,No,No,Yes,No,,,No,,,,,,,,,,,donaldson,S
365,No,White,Yes,No,No,No,No,No,,,No,,,,,,,,,,,woodsmall,S
366,No,White,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,coker,A
367,Yes,White,No,No,No,No,No,No,Yes,Yes,No,,,,,,,,,,,manning,K
368,No,White,No,No,No,Yes,Yes,No,,,Yes,,,,,,,,,,,romley,K
369,Yes,Nonwhite,No,No,Yes,No,No,No,,,Yes,,,,,,,,,,,coleman,L
370,No,White,Yes,Yes,No,No,No,No,,,Yes,,,,,,,,,,,may,W
371,Yes,Nonwhite,No,No,Yes,No,No,No,,,No,,,,,No,,,Yes,,,adams,D
372,No,White,No,No,No,No,No,No,,,Yes,,,,,Yes,,,No,,,marshall,J
373,No,Nonwhite,No,No,No,No,No,No,,,No,,,,,,,No,,,,wong,G
374,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,Yes,,,,watts,R
375,No,White,No,No,No,No,Yes,No,,,No,,,,,,,,,,,parker,G
376,Yes,White,No,No,No,No,Yes,No,,,Yes,,,,,,,,,,,horton,K
