,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,last_name,first_initial
736,Yes,White,Yes,No,No,No,No,No,,,No,,,,No,,,,,,,hegar,M
737,No,White,No,No,No,No,Yes,No,,,No,,,,No,,,,,,,clark,M
738,No,White,No,No,No,No,No,No,No,No,No,,,,,,,,,,,shipp,B
739,Yes,Nonwhite,No,No,No,No,No,Yes,Yes,No,Yes,,,,,,,,,,,allred,C
740,No,White,No,No,No,No,No,Yes,No,No,Yes,,,,,,,,,,,meier,E
741,No,Nonwhite,No,No,No,No,No,No,No,No,No,,,,,,,,,,,rodriguez,G
742,No,White,No,No,No,No,No,Yes,No,Yes,No,,,,,,,,,,,salerno,L
743,No,White,Yes,No,No,No,Yes,No,No,No,No,,,,,,,,,,,marshall,R
744,No,White,No,No,No,No,No,No,No,No,No,,,,,,,,,,,maternowski,T
745,Yes,White,No,No,No,No,No,No,,,,,,,Yes,,,Yes,,,,steele,D
746,No,White,No,No,Yes,No,Yes,No,,,,,,,No,,,No,,,,powell,J
747,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,krantz,C
748,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,bethel,L
749,Yes,White,No,No,Yes,No,No,No,,,,,,,,,,,,,,wood,D
750,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,No,,,,,,,sanchez,J
751,No,White,No,Yes,No,No,No,No,,,,,,,No,,,,,,,duncan,J
752,No,White,No,No,No,No,No,No,,,,,,,Yes,,,,,,,snider,J
753,No,White,Yes,No,No,No,No,No,,,,,,,No,,,,,,,shocklee,L
754,No,Nonwhite,No,No,No,No,No,No,,,,,,,No,,,,,,,woolridge,R
755,No,White,No,No,No,No,No,No,,No,,,,,No,No,,,No,,,triantaphyllis,A
756,No,Nonwhite,No,No,No,No,No,No,,No,,,,,No,No,,,No,,,sanchez,I
757,No,White,No,No,No,No,No,No,,No,,,,,No,No,,,No,,,cargas,J
758,No,White,No,No,No,No,Yes,No,,No,,,,,No,No,,,No,,,westin,J
759,No,Nonwhite,No,No,No,No,No,No,,No,,,,,No,No,,,No,,,butler,J
760,No,White,No,No,No,No,No,No,No,No,,,,,Yes,Yes,,,Yes,,,moser,L
761,Yes,White,No,No,No,No,No,No,,Yes,,,,,No,No,,,No,,,fletcher,L
762,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,david,S
763,Yes,White,No,No,Yes,No,No,No,,,,,,,,,,Yes,,,,o'rourke,B
764,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,,,No,,,,kimbrough,E
765,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,No,,,,hernandez,S
766,No,White,Yes,No,No,No,No,No,,,,,,,,,,,,,,weiland,K
767,Yes,Nonwhite,No,Yes,No,No,No,No,,,,,,,,,,,,,,castillo,L
768,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,ghorbani,S
769,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,singer,J
770,Yes,White,No,No,Yes,No,No,No,Yes,,,,,,,,,,,,,mcadams,B
771,Yes,White,No,No,Yes,No,No,No,,,,,,,,,,,,,,wilson,J
772,No,Nonwhite,Yes,No,No,No,No,No,,,No,,,,Yes,,,,,,,santana,E
773,No,White,Yes,No,No,No,Yes,No,,,Yes,,,,No,,,,,,,suddarth,J
774,Yes,Nonwhite,No,No,No,No,No,No,,,Yes,,,,No,,,,,,,williams,V
775,No,White,No,No,No,Yes,No,Yes,,,Yes,,,,No,,,,,No,,friedman,A
776,No,White,Yes,No,No,No,No,No,,,Yes,,,,No,,,,,Yes,,helmer,D
777,Yes,White,No,No,Yes,No,No,No,,,Yes,,,,No,,,,,No,,wexton,J
778,No,White,No,No,No,No,Yes,No,,,Yes,,,,Yes,,,,,No,,biggins,J
779,No,White,No,No,No,No,No,Yes,,,Yes,,,,No,,,,,No,,stover,L
780,No,White,No,No,No,No,No,No,,,Yes,,,,No,,,,,No,,pelletier,P
781,Yes,White,Yes,No,No,No,Yes,No,Yes,Yes,Yes,,,,,,,,No,Yes,,luria,E
782,No,White,No,No,No,No,No,No,No,No,Yes,,,,,,,,Yes,No,,mallard,K
783,Yes,White,No,No,No,No,No,No,,Yes,,,,,,,,,,,,cockburn,L
784,No,White,No,No,Yes,No,No,No,,,No,,,,No,,,,,,,moore,C
785,Yes,White,No,No,No,No,No,No,,,Yes,,,,Yes,,,,,,,lewis,J
786,No,White,No,Yes,No,No,Yes,No,,,No,,,,No,,,,,,,volosin,P
787,No,White,No,No,No,No,Yes,No,,,No,,,,No,,,,,,,coppola,S
788,Yes,White,No,No,No,No,No,No,,Yes,Yes,,,,,,,,,No,,spanberger,A
789,No,White,Yes,No,No,No,No,No,,No,Yes,,,,,,,,,Yes,,ward,D
790,Yes,White,No,No,No,No,No,No,,,,,,,Yes,,,,,,,flaccavento,A
791,No,White,No,No,No,No,No,No,,,,,,,No,,,,,,,santopietro,J
802,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,fershee,K
803,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,baxter,R
804,No,White,Yes,No,No,No,Yes,No,,,,,,,,,,,,,,payne,T
805,No,White,Yes,No,No,No,No,No,,,,,,,,,,,,Yes,,scheinberg,A
806,Yes,White,No,No,No,No,No,Yes,,,,,,,,,,,,No,,sergent,T
807,No,White,No,No,No,No,No,No,,,,,,,,,,,No,No,,hagerman,J
808,No,White,No,No,No,No,No,No,,,,,,,,,,,No,No,,davis,P
809,Yes,Nonwhite,Yes,No,Yes,No,No,No,,,,,,,,,,,Yes,Yes,,ojeda,R
810,No,White,No,No,No,No,No,No,,,,,,,,,,,No,No,,love,S
